solver,n_requested,n_used,seed,status,run_dir,combined_solver,combined_runtime_sec,speed_mps,y_max_meters,future_only,delta,C,k,stopping_condition,fill_policy,device,origin_lon,origin_lat,runtime_sec,phases,total_inner_loops,matching_cost_m,matching_cost_km,avg_cost_m,avg_cost_km,feasible_matches,free_B,removed_by_future,removed_by_speed,removed_by_ymax,build_time_sec,solve_time_sec,num_feasible_edges,opt_cost_m,opt_cost_km,opt_avg_cost_m,opt_avg_cost_km
pot_emd,15000,15000,1,success,results/2014-10-14/combined_n15000_seed1,combined,271.1449932665564,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98048400878906,40.75516128540039,124.99321445380338,,,,,,,,,,,,10.48492545587942,114.50828899792396,98663989,14491597.724774456,14491.597724774456,966.1065149849637,0.9661065149849637
spef_unscaled,15000,15000,2,success,results/2014-10-14/combined_n15000_seed2,combined,274.6684294489678,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98021697998047,40.755184173583984,139.69465227681212,1,19798,5864262.758381964,5864.262758381964,419.14536190279205,0.41914536190279206,13991.0,1009.0,824.0,0.0,378.0,,,,,,,
spef_scaled,15000,15000,2,success,results/2014-10-14/combined_n15000_seed2,combined,274.6684294489678,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98021697998047,40.755184173583984,11.997114364989102,5,4814,5893555.137119862,5893.555137119863,422.1139619767843,0.4221139619767843,13962.0,1038.0,823.0,0.0,430.0,,,,,,,
pot_emd,15000,15000,2,success,results/2014-10-14/combined_n15000_seed2,combined,274.6684294489678,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98021697998047,40.755184173583984,122.97666280716658,,,,,,,,,,,,10.487153333146125,112.48950947402045,98564637,15297440.916660862,15297.440916660862,1019.8293944440575,1.0198293944440575
spef_unscaled,15000,15000,3,success,results/2014-10-14/combined_n15000_seed3,combined,291.1428814441897,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.9802474975586,40.755096435546875,152.78108128113672,1,22662,5663552.423450954,5663.552423450954,403.21461081097493,0.4032146108109749,14046.0,954.0,833.0,0.0,323.0,,,,,,,
spef_scaled,15000,15000,3,success,results/2014-10-14/combined_n15000_seed3,combined,291.1428814441897,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.9802474975586,40.755096435546875,12.790513166924939,5,5196,5711223.9071679,5711.2239071679005,407.30451484580664,0.40730451484580665,14022.0,978.0,832.0,0.0,367.0,,,,,,,
pot_emd,15000,15000,3,success,results/2014-10-14/combined_n15000_seed3,combined,291.1428814441897,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.9802474975586,40.755096435546875,125.57128699612804,,,,,,,,,,,,10.493541900999844,115.0777450951282,98968244,13827342.876024356,13827.342876024357,921.8228584016238,0.9218228584016238
spef_unscaled,20000,20000,1,success,results/2014-10-14/combined_n20000_seed1,combined,476.3380662300624,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98043060302734,40.755279541015625,199.3389767119661,1,18709,7449119.175109217,7449.119175109217,398.49778928525205,0.3984977892852521,18693.0,1307.0,1083.0,0.0,503.0,,,,,,,
spef_scaled,20000,20000,1,success,results/2014-10-14/combined_n20000_seed1,combined,476.3380662300624,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98043060302734,40.755279541015625,17.46605781209655,5,6081,7492153.331623304,7492.1533316233035,401.59483981685804,0.40159483981685806,18656.0,1344.0,1081.0,0.0,534.0,,,,,,,
pot_emd,20000,20000,1,success,results/2014-10-14/combined_n20000_seed1,combined,476.3380662300624,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98043060302734,40.755279541015625,259.53303170599975,,,,,,,,,,,,18.626755794044584,240.90627591195516,175463517,19092041.520335816,19092.041520335817,954.6020760167908,0.9546020760167908
spef_unscaled,20000,20000,2,success,results/2014-10-14/combined_n20000_seed2,combined,488.4562245020643,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98017120361328,40.755184173583984,205.6408402530942,1,19249,7451221.789586291,7451.2217895862905,398.90903097522835,0.39890903097522834,18679.0,1321.0,1085.0,0.0,472.0,,,,,,,
spef_scaled,20000,20000,2,success,results/2014-10-14/combined_n20000_seed2,combined,488.4562245020643,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98017120361328,40.755184173583984,17.88552443892695,5,6198,7459551.12938413,7459.55112938413,400.04028151360166,0.40004028151360166,18647.0,1353.0,1086.0,0.0,510.0,,,,,,,
pot_emd,20000,20000,2,success,results/2014-10-14/combined_n20000_seed2,combined,488.4562245020643,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98017120361328,40.755184173583984,264.9298598100431,,,,,,,,,,,,18.55633155303076,246.37352825701237,174942826,19631267.43189276,19631.26743189276,981.563371594638,0.981563371594638
spef_unscaled,20000,20000,3,success,results/2014-10-14/combined_n20000_seed3,combined,524.3086892110296,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98028564453125,40.7551155090332,222.03401252813637,1,21050,7292481.400593167,7292.481400593168,389.5972540118157,0.3895972540118158,18718.0,1282.0,1113.0,0.0,453.0,,,,,,,
spef_scaled,20000,20000,3,success,results/2014-10-14/combined_n20000_seed3,combined,524.3086892110296,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98028564453125,40.7551155090332,18.931209870846942,5,6556,7389061.488014389,7389.0614880143885,395.58121355609984,0.3955812135560998,18679.0,1321.0,1111.0,0.0,488.0,,,,,,,
pot_emd,20000,20000,3,success,results/2014-10-14/combined_n20000_seed3,combined,524.3086892110296,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98028564453125,40.7551155090332,283.34346681204624,,,,,,,,,,,,18.567337105982006,264.77612970606424,175604635,18484442.220819063,18484.442220819063,924.2221110409532,0.9242221110409531
